ID,County,State,TotalPop,Total income,poverty population,poverty percentage,percapitalincome
1,Abbeville,South Carolina,24788,476778519.0,5618.0,23.0,19234.0
2,Acadia Parish,Louisiana,62607,1351742032.0,13543.0,22.0,21591.0
3,Accomack,Virginia,32840,796884076.0,6537.0,20.0,24266.0
4,Ada,Idaho,435117,13768109023.0,51819.0,12.0,31642.0
5,Adair,Iowa,7192,207567288.0,681.0,9.0,28861.0
6,Adair,Kentucky,19304,355349728.0,4141.0,21.0,18408.0
7,Adair,Missouri,25437,553972065.0,7602.0,30.0,21778.0
8,Adair,Oklahoma,22136,366922811.0,6827.0,31.0,16576.0
9,Adams,Colorado,487850,13409455878.0,59664.0,12.0,27487.0
10,Adams,Idaho,3946,95945016.0,546.0,14.0,24314.0
11,Adams,Illinois,66787,1820318460.0,8851.0,13.0,27256.0
12,Adams,Indiana,35018,754064691.0,6629.0,19.0,21534.0
13,Adams,Iowa,3785,102279171.0,428.0,11.0,27022.0
14,Adams,Mississippi,31583,559691415.0,10620.0,34.0,17721.0
15,Adams,Nebraska,31564,886484281.0,3972.0,13.0,28085.0
16,Adams,North Dakota,2368,85089344.0,218.0,9.0,35933.0
17,Adams,Ohio,27926,565461723.0,6662.0,24.0,20249.0
18,Adams,Pennsylvania,101589,3015618781.0,9426.0,9.0,29685.0
19,Adams,Washington,19261,354681143.0,4448.0,23.0,18414.0
20,Adams,Wisconsin,20111,500233619.0,2617.0,13.0,24874.0
21,Addison,Vermont,36825,1143472841.0,3023.0,8.0,31052.0
22,Adjuntas Municipio,Puerto Rico,18525,131847918.0,11883.0,64.0,7117.0
23,Aguada Municipio,Puerto Rico,39470,355268324.0,20589.0,52.0,9001.0
24,Aguadilla Municipio,Puerto Rico,55722,605784692.0,28635.0,51.0,10872.0
25,Aguas Buenas Municipio,Puerto Rico,26855,285067732.0,12966.0,48.0,10615.0
26,Aibonito Municipio,Puerto Rico,24008,245450516.0,11816.0,49.0,10224.0
27,Aiken,South Carolina,165707,4345188506.0,27740.0,17.0,26222.0
28,Aitkin,Minnesota,15841,425856947.0,1930.0,12.0,26883.0
29,Alachua,Florida,259865,6868558999.0,61532.0,24.0,26431.0
30,Alamance,North Carolina,157844,3970890250.0,27667.0,18.0,25157.0
31,Alameda,California,1629615,67405147895.0,188472.0,12.0,41363.0
32,Alamosa,Colorado,16345,314096388.0,4594.0,28.0,19217.0
33,Albany,New York,308580,10885950656.0,37665.0,12.0,35278.0
34,Albany,Wyoming,37944,987849861.0,9496.0,25.0,26034.0
35,Albemarle,Virginia,105105,4127812350.0,13465.0,13.0,39273.0
36,Alcona,Michigan,10413,254738053.0,1549.0,15.0,24463.0
37,Alcorn,Mississippi,37242,764460577.0,7333.0,20.0,20527.0
38,Aleutians East Borough,Alaska,3338,104325852.0,557.0,17.0,31254.0
39,Aleutians West Census Area,Alaska,5784,208207626.0,450.0,8.0,35997.0
40,Alexander,Illinois,6776,125788710.0,2268.0,33.0,18564.0
41,Alexander,North Carolina,37159,841858006.0,5415.0,15.0,22656.0
42,Alexandria city,Virginia,154710,8821348744.0,16138.0,10.0,57019.0
43,Alfalfa,Oklahoma,5877,164594490.0,616.0,10.0,28007.0
44,Alger,Michigan,9254,201474563.0,1172.0,13.0,21772.0
45,Allamakee,Iowa,13940,381639581.0,1587.0,11.0,27377.0
46,Allegan,Michigan,114145,3101561024.0,12320.0,11.0,27172.0
47,Allegany,Maryland,72591,1622736386.0,12128.0,17.0,22355.0
48,Allegany,New York,47400,1060626096.0,7961.0,17.0,22376.0
49,Alleghany,North Carolina,10935,231312806.0,2305.0,21.0,21153.0
50,Alleghany,Virginia,15489,401970504.0,3011.0,19.0,25952.0
51,Allegheny,Pennsylvania,1229605,43379054355.0,159626.0,13.0,35279.0
52,Allen,Indiana,367747,9904240830.0,54891.0,15.0,26932.0
53,Allen,Kansas,12752,293432820.0,1820.0,14.0,23011.0
54,Allen,Kentucky,20628,446645089.0,4124.0,20.0,21652.0
55,Allen,Ohio,104157,2557202010.0,15619.0,15.0,24551.0
56,Allen Parish,Louisiana,25667,515975084.0,4465.0,17.0,20103.0
57,Allendale,South Carolina,9402,126356133.0,2862.0,30.0,13439.0
58,Alpena,Michigan,28730,690384582.0,4304.0,15.0,24030.0
59,Alpine,California,1203,33019944.0,238.0,20.0,27448.0
60,Amador,California,37306,1105289758.0,3735.0,10.0,29628.0
61,Amelia,Virginia,12802,334358249.0,1656.0,13.0,26118.0
62,Amherst,Virginia,31819,773089125.0,4276.0,13.0,24296.0
63,Amite,Mississippi,12574,247258579.0,2868.0,23.0,19664.0
64,Anchorage Municipality,Alaska,298225,11623951539.0,24200.0,8.0,38977.0
65,Anderson,Kansas,7840,171590152.0,1063.0,14.0,21886.0
66,Anderson,Kentucky,22017,550234891.0,2646.0,12.0,24991.0
67,Anderson,South Carolina,194174,4754288251.0,30257.0,16.0,24485.0
68,Anderson,Tennessee,75538,2037378752.0,12337.0,16.0,26972.0
69,Anderson,Texas,57747,1008607377.0,10069.0,17.0,17466.0
70,Andrew,Missouri,17358,486075217.0,1560.0,9.0,28003.0
71,Andrews,Texas,17577,525612175.0,2100.0,12.0,29903.0
72,Androscoggin,Maine,107317,2819897483.0,15730.0,15.0,26276.0
73,Angelina,Texas,87700,1927091203.0,16870.0,19.0,21974.0
74,Anne Arundel,Maryland,564600,24423375744.0,33661.0,6.0,43258.0
75,Anoka,Minnesota,344861,11835992914.0,22712.0,7.0,34321.0
76,Anson,North Carolina,25531,487766317.0,5644.0,22.0,19105.0
77,Antelope,Nebraska,6406,179947766.0,743.0,12.0,28091.0
78,Antrim,Michigan,23133,677967715.0,2917.0,13.0,29307.0
79,Apache,Arizona,71602,992770245.0,25622.0,36.0,13865.0
80,Appanoose,Iowa,12547,320493341.0,2142.0,17.0,25543.0
81,Appling,Georgia,18471,368247717.0,4583.0,25.0,19937.0
82,Appomattox,Virginia,15462,407383158.0,2219.0,14.0,26347.0
83,Aransas,Texas,24832,744944136.0,4426.0,18.0,29999.0
84,Arapahoe,Colorado,626612,23153905721.0,62099.0,10.0,36951.0
85,Archer,Texas,8793,273485777.0,778.0,9.0,31103.0
86,Archuleta,Colorado,12592,369501723.0,1466.0,12.0,29344.0
87,Arecibo Municipio,Puerto Rico,89550,891413992.0,43591.0,49.0,9954.0
88,Arenac,Michigan,15238,344715539.0,2815.0,18.0,22622.0
89,Arkansas,Arkansas,18352,436146107.0,3780.0,21.0,23766.0
90,Arlington,Virginia,229534,15390718634.0,18686.0,8.0,67052.0
91,Armstrong,Pennsylvania,66737,1701941865.0,8683.0,13.0,25502.0
92,Armstrong,Texas,1929,60221451.0,145.0,8.0,31219.0
93,Aroostook,Maine,68840,1626771447.0,12129.0,18.0,23631.0
94,Arroyo Municipio,Puerto Rico,18504,141353736.0,10487.0,57.0,7639.0
95,Arthur,Nebraska,421,9177379.0,46.0,11.0,21799.0
96,Ascension Parish,Louisiana,119129,3754906343.0,14070.0,12.0,31520.0
97,Ashe,North Carolina,26833,634608345.0,5236.0,20.0,23650.0
98,Ashland,Ohio,53299,1311822212.0,7577.0,14.0,24613.0
99,Ashland,Wisconsin,15779,362652565.0,2291.0,15.0,22983.0
100,Ashley,Arkansas,20771,430018166.0,4432.0,21.0,20703.0
101,Ashtabula,Ohio,98622,2163371232.0,19530.0,20.0,21936.0
102,Asotin,Washington,22259,598294669.0,3010.0,14.0,26879.0
103,Assumption Parish,Louisiana,22881,589529429.0,3592.0,16.0,25765.0
104,Atascosa,Texas,48139,1154015848.0,7031.0,15.0,23973.0
105,Atchison,Kansas,16466,419778258.0,3065.0,19.0,25494.0
106,Atchison,Missouri,5335,150494065.0,646.0,12.0,28209.0
107,Athens,Ohio,65563,1315311808.0,23738.0,36.0,20062.0
108,Atkinson,Georgia,8313,165463848.0,2271.0,27.0,19904.0
109,Atlantic,New Jersey,272926,8171604505.0,41241.0,15.0,29941.0
110,Atoka,Oklahoma,13899,270180043.0,2674.0,19.0,19439.0
111,Attala,Mississippi,18731,386169662.0,4291.0,23.0,20617.0
112,Audrain,Missouri,25763,546852333.0,4439.0,17.0,21226.0
113,Audubon,Iowa,5711,180024865.0,639.0,11.0,31522.0
114,Auglaize,Ohio,45778,1297332393.0,4139.0,9.0,28340.0
115,Augusta,Virginia,74390,2238248102.0,6768.0,9.0,30088.0
116,Aurora,South Dakota,2739,84558408.0,170.0,6.0,30872.0
117,Austin,Texas,29292,881710339.0,3924.0,13.0,30101.0
118,Autauga,Alabama,55036,1531317270.0,7571.0,14.0,27824.0
119,Avery,North Carolina,17535,380584698.0,2485.0,14.0,21704.0
120,Avoyelles Parish,Louisiana,41095,830091011.0,9919.0,24.0,20199.0
121,Añasco Municipio,Puerto Rico,27892,260623523.0,12663.0,45.0,9344.0
122,Baca,Colorado,3581,81835064.0,703.0,20.0,22853.0
123,Bacon,Georgia,11279,212682027.0,2608.0,23.0,18856.0
124,Bailey,Texas,7098,132462876.0,1583.0,22.0,18662.0
125,Baker,Florida,27537,617918202.0,4728.0,17.0,22440.0
126,Baker,Georgia,3251,72400959.0,633.0,19.0,22270.0
127,Baker,Oregon,15980,412607965.0,2409.0,15.0,25820.0
128,Baldwin,Alabama,203360,5971537385.0,24136.0,12.0,29364.0
129,Baldwin,Georgia,45527,915703232.0,13051.0,29.0,20113.0
130,Ballard,Kentucky,8152,204310364.0,1481.0,18.0,25063.0
131,Baltimore,Maryland,828637,30882906867.0,81176.0,10.0,37270.0
132,Baltimore city,Maryland,619796,17656897944.0,137440.0,22.0,28488.0
133,Bamberg,South Carolina,14842,285795161.0,3691.0,25.0,19256.0
134,Bandera,Texas,21316,621926604.0,3517.0,16.0,29177.0
135,Banks,Georgia,18363,357181464.0,2628.0,14.0,19451.0
136,Banner,Nebraska,728,22375808.0,65.0,9.0,30736.0
137,Bannock,Idaho,84113,2007906653.0,14908.0,18.0,23872.0
138,Baraga,Michigan,8580,162807598.0,1245.0,15.0,18975.0
139,Barber,Kansas,4905,141458718.0,781.0,16.0,28840.0
140,Barbour,Alabama,26201,460118040.0,7040.0,27.0,17561.0
141,Barbour,West Virginia,16790,348587429.0,3855.0,23.0,20762.0
142,Barceloneta Municipio,Puerto Rico,24583,215401259.0,11950.0,49.0,8762.0
143,Barnes,North Dakota,10971,356749989.0,1104.0,10.0,32518.0
144,Barnstable,Massachusetts,213900,8745448444.0,16027.0,7.0,40886.0
145,Barnwell,South Carolina,21788,436149534.0,5899.0,27.0,20018.0
146,Barranquitas Municipio,Puerto Rico,29237,225589986.0,17731.0,61.0,7716.0
147,Barren,Kentucky,43418,889765885.0,9947.0,23.0,20493.0
148,Barron,Wisconsin,45358,1221705389.0,5243.0,12.0,26935.0
149,Barrow,Georgia,75099,1725653657.0,9892.0,13.0,22978.0
150,Barry,Michigan,59607,1619254556.0,5543.0,9.0,27166.0
151,Barry,Missouri,35398,737694181.0,7279.0,21.0,20840.0
152,Bartholomew,Indiana,81024,2427036207.0,10048.0,12.0,29955.0
153,Barton,Kansas,27067,710887177.0,4256.0,16.0,26264.0
154,Barton,Missouri,11942,294106656.0,2501.0,21.0,24628.0
155,Bartow,Georgia,102623,2558451710.0,14560.0,14.0,24931.0
156,Bastrop,Texas,80306,2021454088.0,10667.0,13.0,25172.0
157,Bates,Missouri,16405,424444101.0,2364.0,14.0,25873.0
158,Bath,Kentucky,12189,244501833.0,2918.0,24.0,20059.0
159,Bath,Virginia,4458,125693310.0,415.0,9.0,28195.0
160,Baxter,Arkansas,41093,1016520340.0,5170.0,13.0,24737.0
161,Bay,Florida,180117,4816637418.0,27707.0,15.0,26742.0
162,Bay,Michigan,105350,2682374719.0,17257.0,16.0,25462.0
163,Bayamón Municipio,Puerto Rico,188614,2666558526.0,65190.0,35.0,14138.0
164,Bayfield,Wisconsin,15004,424184498.0,1644.0,11.0,28271.0
165,Baylor,Texas,3602,111013640.0,472.0,13.0,30820.0
166,Beadle,South Dakota,18163,453166341.0,4326.0,24.0,24950.0
167,Bear Lake,Idaho,5942,145049269.0,866.0,15.0,24411.0
168,Beaufort,North Carolina,47316,1166647567.0,9084.0,19.0,24657.0
169,Beaufort,South Carolina,179316,6269923819.0,21154.0,12.0,34966.0
170,Beauregard Parish,Louisiana,36598,898543280.0,6336.0,17.0,24552.0
171,Beaver,Oklahoma,5445,141217848.0,638.0,12.0,25935.0
172,Beaver,Pennsylvania,168161,4903987791.0,18245.0,11.0,29162.0
173,Beaver,Utah,6414,135518229.0,673.0,10.0,21129.0
174,Beaverhead,Montana,9360,266013451.0,1529.0,16.0,28420.0
175,Becker,Minnesota,33552,957078538.0,4280.0,13.0,28525.0
176,Beckham,Oklahoma,22971,548619541.0,2915.0,13.0,23883.0
177,Bedford,Pennsylvania,48891,1184116293.0,6675.0,14.0,24220.0
178,Bedford,Tennessee,46854,1075447452.0,7952.0,17.0,22953.0
179,Bedford,Virginia,77319,2368551669.0,6910.0,9.0,30634.0
180,Bee,Texas,32729,572902678.0,5997.0,18.0,17504.0
181,Belknap,New Hampshire,60383,2043931030.0,5553.0,9.0,33849.0
182,Bell,Kentucky,27469,405262325.0,10401.0,38.0,14753.0
183,Bell,Texas,336506,8418402054.0,48057.0,14.0,25017.0
184,Belmont,Ohio,68889,1744684340.0,9484.0,14.0,25326.0
185,Beltrami,Minnesota,45847,1088741251.0,8802.0,19.0,23747.0
186,Ben Hill,Georgia,17272,287316131.0,5265.0,30.0,16635.0
187,Benewah,Idaho,9050,209239718.0,1428.0,16.0,23120.0
188,Bennett,South Dakota,3440,52585992.0,1310.0,38.0,15287.0
189,Bennington,Vermont,36054,1128950911.0,4601.0,13.0,31313.0
190,Benson,North Dakota,6875,148897096.0,2283.0,33.0,21658.0
191,Bent,Colorado,5806,81446568.0,1422.0,24.0,14028.0
192,Benton,Arkansas,251823,7708481518.0,26530.0,11.0,30611.0
193,Benton,Indiana,8685,205418038.0,1291.0,15.0,23652.0
194,Benton,Iowa,25646,829796924.0,2229.0,9.0,32356.0
195,Benton,Minnesota,39360,1063427427.0,5553.0,14.0,27018.0
196,Benton,Mississippi,8306,154486226.0,1674.0,20.0,18599.0
197,Benton,Missouri,18918,381435078.0,3518.0,19.0,20163.0
198,Benton,Oregon,88249,2724495877.0,19786.0,22.0,30873.0
199,Benton,Tennessee,16154,343787102.0,3612.0,22.0,21282.0
200,Benton,Washington,190529,5813253674.0,25838.0,14.0,30511.0
201,Benzie,Michigan,17462,467817399.0,1758.0,10.0,26791.0
202,Bergen,New Jersey,937920,43708097937.0,67712.0,7.0,46601.0
203,Berkeley,South Carolina,204632,5527105450.0,26174.0,13.0,27010.0
204,Berkeley,West Virginia,111610,3086941091.0,14534.0,13.0,27658.0
205,Berks,Pennsylvania,415500,12066647956.0,56440.0,14.0,29041.0
206,Berkshire,Massachusetts,127751,4247097326.0,14479.0,11.0,33245.0
207,Bernalillo,New Mexico,674855,19125701572.0,121551.0,18.0,28340.0
208,Berrien,Georgia,19014,343465980.0,4484.0,24.0,18064.0
209,Berrien,Michigan,154948,4261873887.0,26750.0,17.0,27505.0
210,Bertie,North Carolina,19913,364794062.0,4397.0,22.0,18319.0
211,Bethel Census Area,Alaska,17957,334967713.0,4800.0,27.0,18654.0
212,Bexar,Texas,1892004,49490885472.0,312133.0,16.0,26158.0
213,Bibb,Alabama,22580,472174368.0,3368.0,15.0,20911.0
214,Bibb,Georgia,153923,3605853312.0,42128.0,27.0,23426.0
215,Bienville Parish,Louisiana,13806,313408571.0,3527.0,26.0,22701.0
216,Big Horn,Montana,13290,237950125.0,3554.0,27.0,17904.0
217,Big Horn,Wyoming,11920,282789166.0,1552.0,13.0,23724.0
218,Big Stone,Minnesota,5039,146307224.0,592.0,12.0,29035.0
219,Billings,North Dakota,983,43923389.0,101.0,10.0,44683.0
220,Bingham,Idaho,45369,940039841.0,5972.0,13.0,20720.0
221,Black Hawk,Iowa,132960,3678843859.0,22693.0,17.0,27669.0
222,Blackford,Indiana,12214,272719285.0,1565.0,13.0,22328.0
223,Bladen,North Carolina,34130,711226697.0,8396.0,25.0,20839.0
224,Blaine,Idaho,21583,706532803.0,3186.0,15.0,32736.0
225,Blaine,Montana,6646,113374807.0,2173.0,33.0,17059.0
226,Blaine,Nebraska,502,14308506.0,49.0,10.0,28503.0
227,Blaine,Oklahoma,9680,220924979.0,1416.0,15.0,22823.0
228,Blair,Pennsylvania,124736,3184585551.0,18893.0,15.0,25531.0
229,Blanco,Texas,11089,346523410.0,1198.0,11.0,31249.0
230,Bland,Virginia,6524,153347404.0,548.0,8.0,23505.0
231,Bleckley,Georgia,12779,264103518.0,3006.0,24.0,20667.0
232,Bledsoe,Tennessee,14413,308464665.0,3050.0,21.0,21402.0
233,Blount,Alabama,57667,1269868835.0,8999.0,16.0,22021.0
234,Blount,Tennessee,127135,3602258857.0,16487.0,13.0,28334.0
235,Blue Earth,Minnesota,65767,1860092964.0,12555.0,19.0,28283.0
236,Boise,Idaho,6968,206587264.0,787.0,11.0,29648.0
237,Bolivar,Mississippi,33121,562535711.0,12238.0,37.0,16984.0
238,Bollinger,Missouri,12347,255424212.0,2454.0,20.0,20687.0
239,Bon Homme,South Dakota,6972,173311598.0,680.0,10.0,24858.0
240,Bond,Illinois,17034,416872201.0,2838.0,17.0,24473.0
241,Bonner,Idaho,41855,1084433201.0,5844.0,14.0,25909.0
242,Bonneville,Idaho,110404,2838065728.0,13247.0,12.0,25706.0
243,Boone,Arkansas,37212,829368214.0,5868.0,16.0,22288.0
244,Boone,Illinois,53638,1557038350.0,5671.0,11.0,29029.0
245,Boone,Indiana,63013,2699737866.0,3876.0,6.0,42844.0
246,Boone,Iowa,26381,796438857.0,2478.0,9.0,30190.0
247,Boone,Kentucky,127682,4284149360.0,9711.0,8.0,33553.0
248,Boone,Missouri,174589,4974987306.0,36049.0,21.0,28495.0
249,Boone,Nebraska,5357,154606529.0,388.0,7.0,28861.0
250,Boone,West Virginia,23236,487755025.0,5668.0,24.0,20991.0
251,Borden,Texas,602,23431646.0,17.0,3.0,38923.0
252,Bosque,Texas,17955,462576337.0,2834.0,16.0,25763.0
253,Bossier Parish,Louisiana,125698,3423396249.0,20508.0,16.0,27235.0
254,Botetourt,Virginia,33149,1151375119.0,2541.0,8.0,34733.0
255,Bottineau,North Dakota,6651,237429083.0,572.0,9.0,35698.0
256,Boulder,Colorado,316782,13342456900.0,43210.0,14.0,42119.0
257,Boundary,Idaho,11323,278607511.0,2067.0,18.0,24605.0
258,Bourbon,Kansas,14757,305574704.0,2586.0,18.0,20707.0
259,Bourbon,Kentucky,20017,520321703.0,3333.0,17.0,25994.0
260,Bowie,Texas,93635,2318459072.0,16469.0,18.0,24761.0
261,Bowman,North Dakota,3226,117162866.0,273.0,8.0,36318.0
262,Box Butte,Nebraska,11200,319005155.0,1215.0,11.0,28483.0
263,Box Elder,Utah,52182,1190181593.0,5304.0,10.0,22808.0
264,Boyd,Kentucky,48486,1280998490.0,9307.0,19.0,26420.0
265,Boyd,Nebraska,2049,54120237.0,201.0,10.0,26413.0
266,Boyle,Kentucky,29773,709236872.0,4866.0,16.0,23821.0
267,Bracken,Kentucky,8330,186861458.0,1783.0,21.0,22432.0
268,Bradford,Florida,26775,526275694.0,5108.0,19.0,19655.0
269,Bradford,Pennsylvania,61546,1657852180.0,7543.0,12.0,26937.0
270,Bradley,Arkansas,10994,237191882.0,2900.0,26.0,21575.0
271,Bradley,Tennessee,103666,2606563643.0,19000.0,18.0,25144.0
272,Branch,Michigan,43543,1000483507.0,6838.0,16.0,22977.0
273,Brantley,Georgia,18411,335452086.0,3999.0,22.0,18220.0
274,Braxton,West Virginia,14345,295976282.0,3189.0,22.0,20633.0
275,Brazoria,Texas,345995,11190618445.0,34273.0,10.0,32343.0
276,Brazos,Texas,214231,5427961032.0,53705.0,25.0,25337.0
277,Breathitt,Kentucky,13276,224026696.0,4776.0,36.0,16875.0
278,Breckinridge,Kentucky,19991,414505255.0,3539.0,18.0,20735.0
279,Bremer,Iowa,24741,794302288.0,2110.0,9.0,32105.0
280,Brevard,Florida,568183,16707267641.0,76264.0,13.0,29405.0
281,Brewster,Texas,9220,240391987.0,998.0,11.0,26073.0
282,Briscoe,Texas,1591,36909609.0,221.0,14.0,23199.0
283,Bristol Bay Borough,Alaska,917,38515834.0,65.0,7.0,42002.0
284,Bristol,Massachusetts,557016,18050769982.0,67331.0,12.0,32406.0
285,Bristol,Rhode Island,49028,2076816889.0,3605.0,7.0,42360.0
286,Bristol city,Virginia,17077,368684523.0,3672.0,22.0,21590.0
287,Broadwater,Montana,5755,185701839.0,454.0,8.0,32268.0
288,Bronx,New York,1455846,28710731871.0,429813.0,30.0,19721.0
289,Brooke,West Virginia,23067,591215644.0,2997.0,13.0,25630.0
290,Brookings,South Dakota,33697,916439128.0,5830.0,17.0,27196.0
291,Brooks,Georgia,15629,327643866.0,3680.0,24.0,20964.0
292,Brooks,Texas,7251,98245767.0,2951.0,41.0,13549.0
293,Broome,New York,196124,5254136427.0,34940.0,18.0,26790.0
294,Broomfield,Colorado,64283,2811511694.0,3375.0,5.0,43736.0
295,Broward,Florida,1890416,56919040830.0,265382.0,14.0,30109.0
296,Brown,Illinois,6791,148763919.0,840.0,12.0,21906.0
297,Brown,Indiana,15007,470698240.0,1580.0,11.0,31365.0
298,Brown,Kansas,9736,236766620.0,1291.0,13.0,24319.0
299,Brown,Minnesota,25243,749628403.0,2011.0,8.0,29696.0
300,Brown,Nebraska,3058,90712512.0,489.0,16.0,29664.0
301,Brown,Ohio,43799,1074188468.0,7835.0,18.0,24525.0
302,Brown,South Dakota,38637,1216819135.0,4274.0,11.0,31494.0
303,Brown,Texas,37787,908392696.0,6391.0,17.0,24040.0
304,Brown,Wisconsin,258004,7707636293.0,29101.0,11.0,29874.0
305,Brule,South Dakota,5280,137670399.0,765.0,14.0,26074.0
306,Brunswick,North Carolina,122586,3641640064.0,17322.0,14.0,29707.0
307,Brunswick,Virginia,16435,333258455.0,3075.0,19.0,20277.0
308,Bryan,Georgia,34883,1042295723.0,4926.0,14.0,29880.0
309,Bryan,Oklahoma,45068,999203824.0,7953.0,18.0,22171.0
310,Buchanan,Iowa,21101,653587083.0,1647.0,8.0,30974.0
311,Buchanan,Missouri,89425,2170471483.0,15124.0,17.0,24271.0
312,Buchanan,Virginia,22611,435067030.0,5955.0,26.0,19241.0
313,Buckingham,Virginia,17048,335880415.0,2813.0,17.0,19702.0
314,Bucks,Pennsylvania,626486,26264583579.0,38468.0,6.0,41924.0
315,Buena Vista,Iowa,20369,536632099.0,2803.0,14.0,26346.0
316,Buena Vista city,Virginia,6495,116708655.0,1351.0,21.0,17969.0
317,Buffalo,Nebraska,48834,1394368625.0,7523.0,15.0,28553.0
318,Buffalo,South Dakota,2048,22446080.0,829.0,40.0,10960.0
319,Buffalo,Wisconsin,13243,374593171.0,1420.0,11.0,28286.0
320,Bullitt,Kentucky,78622,2094746833.0,8024.0,10.0,26643.0
321,Bulloch,Georgia,73742,1513623821.0,24561.0,33.0,20526.0
322,Bullock,Alabama,10478,218525498.0,2999.0,29.0,20856.0
323,Buncombe,North Carolina,252268,7464639323.0,33531.0,13.0,29590.0
324,Bureau,Illinois,33619,952489305.0,4247.0,13.0,28332.0
325,Burke,Georgia,22645,446555455.0,6601.0,29.0,19720.0
326,Burke,North Carolina,88898,1945496243.0,17283.0,19.0,21885.0
327,Burke,North Dakota,2253,80373522.0,164.0,7.0,35674.0
328,Burleigh,North Dakota,92372,3370052580.0,7945.0,9.0,36483.0
329,Burleson,Texas,17596,477057244.0,2683.0,15.0,27112.0
330,Burlington,New Jersey,449192,17755716599.0,29185.0,6.0,39528.0
331,Burnet,Texas,45017,1316603387.0,5556.0,12.0,29247.0
332,Burnett,Wisconsin,15239,400903527.0,2221.0,15.0,26308.0
333,Burt,Nebraska,6546,172955759.0,805.0,12.0,26422.0
334,Butler,Alabama,20126,382471672.0,4922.0,24.0,19004.0
335,Butler,Iowa,14822,423674670.0,1398.0,9.0,28584.0
336,Butler,Kansas,66260,1886953901.0,7179.0,11.0,28478.0
337,Butler,Kentucky,12735,277463757.0,2810.0,22.0,21787.0
338,Butler,Missouri,42826,893143990.0,9237.0,22.0,20855.0
339,Butler,Nebraska,8105,220583066.0,633.0,8.0,27216.0
340,Butler,Ohio,375702,11175194936.0,52555.0,14.0,29745.0
341,Butler,Pennsylvania,185984,6528316170.0,15880.0,9.0,35101.0
342,Butte,California,225207,5923733907.0,46817.0,21.0,26304.0
343,Butte,Idaho,2613,68531151.0,423.0,16.0,26227.0
344,Butte,South Dakota,10194,266859210.0,1134.0,11.0,26178.0
345,Butts,Georgia,23556,500235780.0,5430.0,23.0,21236.0
346,Cabarrus,North Carolina,196716,5732885587.0,22704.0,12.0,29143.0
347,Cabell,West Virginia,96100,2368456995.0,23369.0,24.0,24646.0
348,Cabo Rojo Municipio,Puerto Rico,49726,473550208.0,26108.0,53.0,9523.0
349,Cache,Utah,120288,2616470434.0,18802.0,16.0,21752.0
350,Caddo,Oklahoma,29437,620265873.0,6051.0,21.0,21071.0
351,Caddo Parish,Louisiana,251069,6418635592.0,59285.0,24.0,25565.0
352,Caguas Municipio,Puerto Rico,134269,1866836374.0,50641.0,38.0,13904.0
353,Calaveras,California,45057,1426148034.0,5772.0,13.0,31652.0
354,Calcasieu Parish,Louisiana,198753,5280571326.0,33818.0,17.0,26569.0
355,Caldwell,Kentucky,12747,322146772.0,2234.0,18.0,25272.0
356,Caldwell,Missouri,9046,218914014.0,1199.0,13.0,24200.0
357,Caldwell,North Carolina,81805,1798940827.0,13458.0,16.0,21991.0
358,Caldwell,Texas,40544,947358684.0,7166.0,18.0,23366.0
359,Caldwell Parish,Louisiana,10000,209609225.0,2627.0,26.0,20961.0
360,Caledonia,Vermont,30576,791799874.0,3827.0,13.0,25896.0
361,Calhoun,Alabama,115527,2730671823.0,22105.0,19.0,23637.0
362,Calhoun,Arkansas,5194,118764013.0,1011.0,19.0,22866.0
363,Calhoun,Florida,14458,230276813.0,1858.0,13.0,15927.0
364,Calhoun,Georgia,6503,90162296.0,1789.0,28.0,13865.0
365,Calhoun,Illinois,4897,125655479.0,635.0,13.0,25660.0
366,Calhoun,Iowa,9814,268610712.0,1493.0,15.0,27370.0
367,Calhoun,Michigan,134327,3339234392.0,23442.0,17.0,24859.0
368,Calhoun,Mississippi,14617,260717756.0,3933.0,27.0,17837.0
369,Calhoun,South Carolina,14808,366744780.0,2703.0,18.0,24767.0
370,Calhoun,Texas,21821,587194926.0,3458.0,16.0,26910.0
371,Calhoun,West Virginia,7450,146738134.0,1276.0,17.0,19696.0
372,Callahan,Texas,13660,303326571.0,2134.0,16.0,22205.0
373,Callaway,Missouri,44793,1084354656.0,5793.0,13.0,24208.0
374,Calloway,Kentucky,38616,840158423.0,9604.0,25.0,21757.0
375,Calumet,Wisconsin,49737,1627053209.0,2946.0,6.0,32713.0
376,Calvert,Maryland,90824,3766408399.0,5174.0,6.0,41469.0
377,Camas,Idaho,886,25864998.0,198.0,22.0,29193.0
378,Cambria,Pennsylvania,135871,3374761279.0,21074.0,16.0,24838.0
379,Camden,Georgia,52252,1403191855.0,6871.0,13.0,26854.0
380,Camden,Missouri,44855,1143457399.0,7858.0,18.0,25492.0
381,Camden,New Jersey,510996,16827784178.0,67294.0,13.0,32931.0
382,Camden,North Carolina,10336,283910032.0,929.0,9.0,27468.0
383,Cameron,Pennsylvania,4754,118533656.0,685.0,14.0,24933.0
384,Cameron,Texas,420201,6758798886.0,131398.0,31.0,16085.0
385,Cameron Parish,Louisiana,6806,202013933.0,591.0,9.0,29682.0
386,Camp,Texas,12670,266938180.0,2205.0,17.0,21069.0
387,Campbell,Kentucky,91804,2851843374.0,13035.0,14.0,31064.0
