ID,County,State,TotalPop,poverty percentage,percapitalincome,cases,deaths,TotalCasesPer100K,TotalDeathsPer100K
1871,Miami,Ohio,104081,10.0,28051.0,922739,16665.0,886558.5457480232,16011.567913452023
1872,Miami-Dade,Florida,2702602,19.0,25481.0,51321905,823839.0,1898981.2410410412,30483.17880324221
1873,Middlesex,Connecticut,164110,7.0,43695.0,951076,61841.0,579535.6772896228,37682.651879836696
1874,Middlesex,Massachusetts,1582857,8.0,47616.0,12813998,663852.0,809548.6831722639,41940.11208845777
1875,Middlesex,New Jersey,837288,9.0,36558.0,8483239,427879.0,1013180.5304745798,51102.96576566247
1876,Middlesex,Virginia,10710,10.0,29871.0,40171,1945.0,375079.3650793651,18160.59757236228
1877,Midland,Michigan,83489,11.0,33013.0,477085,6400.0,571434.560241469,7665.680508809543
1878,Midland,Texas,159883,9.0,38545.0,1599142,27411.0,1000195.142698098,17144.411851166165
1879,Mifflin,Pennsylvania,46452,13.0,23568.0,347946,10438.0,749044.174631878,22470.50719021786
1880,Milam,Texas,24479,16.0,22911.0,194749,2429.0,795575.7996650189,9922.790963683157
1881,Millard,Utah,12651,12.0,23283.0,114649,420.0,906244.5656469844,3319.8956604221007
1882,Mille Lacs,Minnesota,25635,12.0,25732.0,218000,4869.0,850399.8439633313,18993.563487419542
1883,Miller,Arkansas,43760,21.0,22227.0,389222,3888.0,889446.9835466179,8884.826325411335
1884,Miller,Georgia,5884,24.0,21002.0,88590,545.0,1505608.4296397008,9262.406526172672
1885,Miller,Missouri,24947,17.0,23346.0,245870,4188.0,985569.4071431435,16787.589690143104
1886,Mills,Iowa,14933,9.0,31309.0,152349,1484.0,1020216.9691287753,9937.72182414786
1887,Mills,Texas,4887,15.0,24858.0,36026,1198.0,737180.2741968489,24514.01677921015
1888,Milwaukee,Wisconsin,956586,21.0,26933.0,13087425,185102.0,1368138.881396968,19350.272740767687
1889,Miner,South Dakota,2255,12.0,28633.0,28854,652.0,1279556.5410199556,28913.52549889135
1890,Mineral,Colorado,834,12.0,33018.0,7244,74.0,868585.1318944844,8872.901678657074
1891,Mineral,Montana,4194,20.0,22893.0,15550,7.0,370767.76347162615,166.90510252742013
1892,Mineral,Nevada,4471,20.0,22791.0,20517,370.0,458890.6284947439,8275.55356743458
1893,Mineral,West Virginia,27421,15.0,21888.0,216596,5850.0,789890.9594836074,21334.01407680245
1894,Mingo,West Virginia,25150,29.0,19272.0,186495,3000.0,741530.815109344,11928.429423459245
1895,Minidoka,Idaho,20448,18.0,21887.0,295343,2850.0,1444361.3067292646,13937.793427230048
1896,Minnehaha,South Dakota,183660,11.0,29551.0,3500691,38467.0,1906071.5452466514,20944.680387672874
1897,Missaukee,Michigan,14982,16.0,21805.0,58814,1242.0,392564.4106260846,8289.94793752503
1898,Mississippi,Arkansas,43534,26.0,20378.0,624348,14160.0,1434161.8045665456,32526.301281756787
1899,Mississippi,Missouri,13916,31.0,17918.0,143802,1704.0,1033357.2865766024,12244.897959183672
1900,Missoula,Montana,114231,16.0,29681.0,741046,6538.0,648725.8274899109,5723.490120895379
1901,Mitchell,Georgia,22574,28.0,16087.0,269146,14270.0,1192283.1576149552,63214.317356250554
1902,Mitchell,Iowa,10663,8.0,27407.0,122025,2567.0,1144377.7548532307,24073.900403263622
1903,Mitchell,Kansas,6230,15.0,26108.0,44061,0.0,707239.165329053,0.0
1904,Mitchell,North Carolina,15155,15.0,22302.0,101978,1221.0,672900.0329924118,8056.746948201914
1905,Mitchell,Texas,8774,8.0,19741.0,58076,1652.0,661910.1891953499,18828.356507864144
1906,Mobile,Alabama,414328,19.0,24347.0,4390899,91233.0,1059764.0033982738,22019.511111969263
1907,Modoc,California,9017,18.0,22052.0,23850,164.0,264500.3881557059,1818.7867361650217
1908,Moffat,Colorado,13056,10.0,27332.0,54554,1765.0,417846.2009803921,13518.688725490196
1909,Mohave,Arizona,204691,19.0,23527.0,1799594,67225.0,879175.9285948088,32842.18651528401
1910,Moniteau,Missouri,15904,12.0,21305.0,187091,2643.0,1176377.0120724346,16618.460764587526
1911,Monmouth,New Jersey,627551,8.0,46736.0,5623563,263884.0,896112.5071906507,42049.80949755478
1912,Mono,California,14058,10.0,30889.0,110063,668.0,782920.7568644187,4751.742779911794
1913,Monona,Iowa,8865,15.0,26829.0,78693,1484.0,887681.8950930625,16739.98871968415
1914,Monongalia,West Virginia,103715,23.0,29285.0,734885,4419.0,708561.9245046522,4260.714457889409
1915,Monroe,Alabama,21745,34.0,17264.0,195342,2723.0,898330.6507243044,12522.418946884341
1916,Monroe,Arkansas,7420,29.0,20486.0,67363,945.0,907857.1428571428,12735.849056603773
1917,Monroe,Florida,76745,13.0,39176.0,665200,5965.0,866766.5645970422,7772.493322040524
1918,Monroe,Georgia,26795,14.0,30359.0,248734,12871.0,928285.1278223548,48035.081171860416
1919,Monroe,Illinois,33739,5.0,37043.0,384208,9443.0,1138765.2271851567,27988.381398381694
1920,Monroe,Indiana,144436,29.0,26738.0,1044744,15974.0,723326.5944778309,11059.569636378741
1921,Monroe,Iowa,7912,11.0,25929.0,86665,3227.0,1095361.476238625,40786.14762386249
1922,Monroe,Kentucky,10645,24.0,21985.0,120458,2847.0,1131592.2968529826,26744.950681070924
1923,Monroe,Michigan,149619,11.0,29245.0,963996,19058.0,644300.5233292563,12737.687058461826
1924,Monroe,Mississippi,35967,19.0,21643.0,456962,19075.0,1270503.5171129091,53034.72627686491
1925,Monroe,Missouri,8676,13.0,22255.0,59175,640.0,682053.9419087137,7376.671277086214
1926,Monroe,New York,748680,15.0,31291.0,4233659,107137.0,565483.1169525031,14310.119143025058
1927,Monroe,Ohio,14239,20.0,23154.0,92521,5652.0,649771.7536343845,39693.798721820356
1928,Monroe,Pennsylvania,167306,11.0,27439.0,947988,43373.0,566619.2485625142,25924.354177375586
1929,Monroe,Tennessee,45698,20.0,20353.0,478732,8082.0,1047599.4573066655,17685.67552190468
1930,Monroe,West Virginia,13517,17.0,22830.0,79214,1613.0,586032.4036398609,11933.121254716281
1931,Monroe,Wisconsin,45303,13.0,26724.0,410953,2691.0,907120.9412180209,5940.003973246805
1932,Montague,Texas,19406,16.0,26278.0,151573,4167.0,781062.5579717612,21472.740389570234
1933,Montcalm,Michigan,62956,18.0,21509.0,419302,6898.0,666023.8897007434,10956.858758497998
1934,Monterey,California,433168,14.0,27168.0,3887591,29037.0,897478.8072987847,6703.4037602038925
1935,Montezuma,Colorado,25770,17.0,24440.0,142302,2342.0,552200.2328288708,9088.086922778424
1936,Montgomery,Alabama,227120,21.0,26712.0,2851852,55867.0,1255658.6826347306,24598.00986262769
1937,Montgomery,Arkansas,9059,18.0,21480.0,63458,2349.0,700496.7435699304,25930.0143503698
1938,Montgomery,Georgia,8962,20.0,20114.0,95466,1860.0,1065230.9752287436,20754.295916090156
1939,Montgomery,Illinois,29173,16.0,23172.0,269600,4810.0,924142.1862681246,16487.84835292908
1940,Montgomery,Indiana,38288,10.0,25519.0,348013,8746.0,908934.9143334726,22842.666109486
1941,Montgomery,Iowa,10239,17.0,25005.0,85338,2597.0,833460.2988573103,25363.8050590878
1942,Montgomery,Kansas,33463,18.0,22823.0,263511,1461.0,787469.7427008935,4366.016196993694
1943,Montgomery,Kentucky,27550,23.0,21371.0,183167,1716.0,664852.9945553539,6228.675136116152
1944,Montgomery,Maryland,1039198,7.0,51162.0,8209652,262410.0,789998.826017756,25251.203331800098
1945,Montgomery,Mississippi,10309,26.0,22666.0,156679,5127.0,1519827.3353380542,49733.24279755553
1946,Montgomery,Missouri,11618,16.0,21757.0,57016,884.0,490755.72387674294,7608.882768118437
1947,Montgomery,New York,49500,20.0,25307.0,187516,6234.0,378820.202020202,12593.939393939394
1948,Montgomery,North Carolina,27445,21.0,20900.0,327286,8571.0,1192515.9409728546,31229.732191656036
1949,Montgomery,Ohio,531987,18.0,27602.0,4371580,55943.0,821745.6441604777,10515.858470225776
1950,Montgomery,Pennsylvania,818677,6.0,45048.0,5593274,276674.0,683208.8845784114,33795.25747028438
1951,Montgomery,Tennessee,192120,14.0,24827.0,1516413,17372.0,789305.1217988757,9042.265250884864
1952,Montgomery,Texas,535187,10.0,38012.0,4100936,46779.0,766262.2597335137,8740.683163081316
1953,Montgomery,Virginia,97692,22.0,28277.0,693894,4626.0,710287.43397617,4735.290504851983
1954,Montmorency,Michigan,9290,15.0,23155.0,29940,968.0,322282.0236813778,10419.806243272336
1955,Montour,Pennsylvania,18302,10.0,31817.0,138375,3713.0,756064.9109386953,20287.400284121955
1956,Montrose,Colorado,40908,18.0,24308.0,269410,5815.0,658575.3397868387,14214.823506404615
1957,Moody,South Dakota,6496,16.0,27775.0,64646,1399.0,995166.2561576354,21536.330049261083
1958,Moore,North Carolina,94191,13.0,31554.0,707628,13098.0,751269.229544224,13905.787177118833
1959,Moore,Tennessee,6302,8.0,31479.0,83304,782.0,1321866.074262139,12408.75912408759
1960,Moore,Texas,22016,17.0,21372.0,392284,7955.0,1781813.2267441861,36132.8125
1961,Mora,New Mexico,4605,20.0,16019.0,11021,272.0,239326.81867535287,5906.623235613463
1962,Morgan,Alabama,119157,17.0,25013.0,1444272,14479.0,1212074.8256501926,12151.195481591514
1963,Morgan,Colorado,28123,9.0,24077.0,345277,16216.0,1227738.8614301463,57660.989225900514
1964,Morgan,Georgia,18013,13.0,28831.0,183667,1309.0,1019635.8185754732,7266.973852217842
1965,Morgan,Illinois,34442,16.0,26253.0,370541,9926.0,1075840.5435224436,28819.464607165668
1966,Morgan,Indiana,69533,12.0,27401.0,529597,15084.0,761648.4259272575,21693.29670803791
1967,Morgan,Kentucky,13281,25.0,17089.0,109313,8.0,823078.0814697688,60.23642797982079
1968,Morgan,Missouri,20097,26.0,20055.0,174994,2624.0,870746.8776434293,13056.675125640642
1969,Morgan,Ohio,14773,22.0,22122.0,68844,2165.0,466012.31977255805,14655.114059432748
1970,Morgan,Tennessee,21639,23.0,18649.0,178564,1769.0,825195.2493183604,8175.05430010629
1971,Morgan,Utah,11014,2.0,30457.0,95512,603.0,867187.2162702015,5474.850190666424
1972,Morgan,West Virginia,17510,11.0,24026.0,70080,679.0,400228.4408909195,3877.784123358081
1973,Morrill,Nebraska,4903,9.0,25120.0,50549,998.0,1030981.0320212116,20354.884764429942
1974,Morris,Kansas,5605,10.0,26569.0,43225,729.0,771186.4406779661,13006.244424620874
1975,Morris,New Jersey,498847,5.0,53491.0,3835241,250734.0,768821.1014599666,50262.705799573814
1976,Morris,Texas,12530,16.0,22803.0,73395,1606.0,585754.1899441341,12817.238627294493
1977,Morrison,Minnesota,32880,12.0,28041.0,321013,4205.0,976316.9099756691,12788.929440389295
1978,Morrow,Ohio,34935,10.0,24864.0,215649,770.0,617286.389008158,2204.0933161585804
1979,Morrow,Oregon,11153,15.0,21743.0,138178,1434.0,1238931.2292656684,12857.527122747242
1980,Morton,Kansas,2931,8.0,23038.0,23183,1025.0,790958.7171613784,34970.99965881951
1981,Morton,North Dakota,30059,8.0,37335.0,587459,11125.0,1954353.105559067,37010.54592634485
1982,Motley,Texas,1114,12.0,25908.0,7043,403.0,632226.211849192,36175.94254937163
1983,Moultrie,Illinois,14711,12.0,26166.0,148083,2487.0,1006614.0982937939,16905.71681054993
1984,Mountrail,North Dakota,9986,11.0,40113.0,151607,1864.0,1518195.4736631282,18666.132585619867
1985,Mower,Minnesota,39386,13.0,28613.0,518524,3485.0,1316518.5598943788,8848.321738688874
1986,Muhlenberg,Kentucky,31153,21.0,20376.0,334088,5808.0,1072410.3617629122,18643.469328796586
1987,Multnomah,Oregon,788459,16.0,34848.0,3343211,58271.0,424018.37001036195,7390.492086462327
1988,Murray,Georgia,39444,18.0,19084.0,407240,4776.0,1032451.0698712098,12108.305445695163
1989,Murray,Minnesota,8394,8.0,30552.0,101150,766.0,1205027.4005241839,9125.565880390755
1990,Murray,Oklahoma,13797,14.0,24804.0,138593,1162.0,1004515.474378488,8422.120750887874
1991,Muscatine,Iowa,42923,11.0,28028.0,531865,16695.0,1239114.2278032757,38895.23099503762
1992,Muscogee,Georgia,198647,21.0,24604.0,1776969,41910.0,894536.0362854713,21097.72611718274
1993,Muskegon,Michigan,172707,19.0,22829.0,1396100,36794.0,808363.2973764815,21304.2899245543
1994,Muskingum,Ohio,85933,17.0,22877.0,586181,3818.0,682137.2464594509,4442.996287805616
1995,Muskogee,Oklahoma,69471,22.0,21800.0,820460,8595.0,1181010.781477163,12372.068920844667
1996,Musselshell,Montana,4766,17.0,23908.0,30464,701.0,639194.292908099,14708.350818296265
1997,Nacogdoches,Texas,65411,26.0,22589.0,490434,18431.0,749772.9739646238,28177.217899130115
1998,Nance,Nebraska,3569,12.0,26852.0,38325,675.0,1073830.2045390867,18912.860745306807
1999,Nantucket,Massachusetts,10912,11.0,47924.0,86478,345.0,792503.6656891496,3161.6568914956015
2000,Napa,California,141005,8.0,40632.0,781627,5277.0,554325.7331300308,3742.4204815432076
2001,Nash,North Carolina,94125,16.0,25232.0,904598,16950.0,961060.2921646746,18007.96812749004
2002,Nassau,Florida,78435,11.0,33337.0,738523,11023.0,941573.2772359279,14053.675017530439
2003,Nassau,New York,1363069,6.0,46839.0,18720026,752227.0,1373373.3215266431,55186.27450261139
2004,Natrona,Wyoming,81023,10.0,31900.0,708850,8941.0,874875.0354837516,11035.138170642904
2005,Navajo,Arizona,107902,29.0,17685.0,2032104,68005.0,1883286.6860669865,63024.78174639951
2006,Navarro,Texas,48239,19.0,22152.0,583994,10185.0,1210626.2567632,21113.621758328325
2007,Nelson,Kentucky,45131,11.0,28156.0,375646,2254.0,832345.8376725533,4994.349781746471
2008,Nelson,North Dakota,2971,8.0,33599.0,48382,1207.0,1628475.260854931,40626.05183439919
2009,Nelson,Virginia,14863,15.0,33596.0,52144,535.0,350830.92242481327,3599.5424880575924
2010,Nemaha,Kansas,10095,11.0,27438.0,145305,4012.0,1439375.928677563,39742.446755819714
2011,Nemaha,Nebraska,7041,12.0,28572.0,58071,769.0,824755.0063911376,10921.74407044454
2012,Neosho,Kansas,16209,21.0,23589.0,137684,1050.0,849429.3293849096,6477.882657782713
2013,Neshoba,Mississippi,29437,22.0,19243.0,534144,29511.0,1814532.730916873,100251.38431226008
2014,Ness,Kansas,3001,9.0,30761.0,39659,1862.0,1321526.157947351,62045.98467177608
2015,Nevada,Arkansas,8528,23.0,18644.0,87888,3425.0,1030581.6135084429,40161.81988742964
2016,Nevada,California,98838,12.0,35581.0,317689,5365.0,321423.9462554888,5428.074222465044
2017,New Castle,Delaware,555036,12.0,34541.0,4784200,98418.0,861962.1069624312,17731.822800683196
2018,New Hanover,North Carolina,219866,19.0,31708.0,1498203,12473.0,681416.408175889,5673.000827776919
2019,New Haven,Connecticut,862127,12.0,35085.0,7501089,365848.0,870067.751039,42435.511241383225
2020,New Kent,Virginia,20523,5.0,36768.0,97008,870.0,472679.4328314574,4239.146323636895
2021,New London,Connecticut,270772,10.0,36881.0,1507791,47527.0,556848.9356358856,17552.40571403247
2022,New Madrid,Missouri,18030,24.0,20261.0,214342,4609.0,1188807.542983916,25562.95063782585
2023,Newaygo,Michigan,47899,18.0,22735.0,275084,3370.0,574300.0897722291,7035.637487212676
2024,Newberry,South Carolina,37914,20.0,22190.0,442937,10386.0,1168267.6583847655,27393.574932742526
2025,Newport,Rhode Island,83204,9.0,43603.0,358490,2253.0,430856.68958223163,2707.8025094947357
2026,Newport News city,Virginia,180775,17.0,26028.0,982783,12128.0,543649.8409625224,6708.892269395657
2027,Newton,Arkansas,7898,18.0,18053.0,78166,4107.0,989693.5933147633,52000.50645733097
2028,Newton,Georgia,105042,17.0,23611.0,941498,22696.0,896306.2394089984,21606.595457055275
2029,Newton,Indiana,14056,14.0,24315.0,107033,4419.0,761475.5264655664,31438.53158793398
2030,Newton,Mississippi,21437,23.0,21177.0,266418,6552.0,1242795.1672342212,30563.978168587022
2031,Newton,Missouri,58237,13.0,25837.0,515885,6531.0,885837.1825471778,11214.519978707693
2032,Newton,Texas,14187,16.0,20800.0,58168,2927.0,410009.16331853106,20631.564107986185
2033,Nez Perce,Idaho,40014,14.0,26799.0,347648,8497.0,868815.9144299495,21235.067726295798
2034,Niagara,New York,212675,13.0,28395.0,1173639,33376.0,551846.2442694252,15693.428940872223
2035,Nicholas,Kentucky,7061,28.0,21519.0,35742,522.0,506188.9250814332,7392.720577821838
2036,Nicholas,West Virginia,25496,19.0,22101.0,82445,1115.0,323364.44932538434,4373.235017257609
2037,Nicollet,Minnesota,33477,12.0,29722.0,270443,5761.0,807847.1786599755,17208.829942945904
2038,Niobrara,Wyoming,2479,15.0,23370.0,14017,135.0,565429.6087131908,5445.744251714401
2039,Noble,Indiana,47421,9.0,25260.0,525030,11665.0,1107167.7105080027,24598.806435967188
2040,Noble,Ohio,14498,13.0,23119.0,105649,3279.0,728714.3054214375,22616.912677610704
2041,Noble,Oklahoma,11421,12.0,28054.0,109254,914.0,956606.2516417126,8002.801856229752
2042,Nobles,Minnesota,21854,16.0,24935.0,702082,6039.0,3212601.8120252583,27633.38519264208
2043,Nodaway,Missouri,22744,23.0,21055.0,299958,2387.0,1318844.5304256068,10495.075624340485
2044,Nolan,Texas,14990,17.0,23686.0,142745,3090.0,952268.1787858572,20613.742494996663
2045,Nome Census Area,Alaska,9869,25.0,20952.0,35452,0.0,359225.85874962003,0.0
2046,Norfolk,Massachusetts,694389,7.0,49816.0,4873939,326499.0,701903.2559559556,47019.61004566605
2047,Norfolk city,Virginia,245752,21.0,26670.0,1528152,19001.0,621826.8823854943,7731.778378202415
2048,Norman,Minnesota,6589,12.0,27099.0,48868,795.0,741660.3429959022,12065.563818485354
2049,North Slope Borough,Alaska,9757,10.0,48777.0,89754,205.0,919893.4098595879,2101.0556523521573
2050,Northampton,North Carolina,20426,26.0,19126.0,176155,5677.0,862405.7573680603,27793.008910212473
2051,Northampton,Pennsylvania,300941,10.0,32608.0,2452242,98404.0,814858.0618792388,32698.768197088466
2052,Northampton,Virginia,11998,20.0,24835.0,102094,8222.0,850925.1541923654,68528.0880146691
2053,Northumberland,Pennsylvania,93038,14.0,24278.0,614934,28367.0,660949.2895376083,30489.692383757174
2054,Northumberland,Virginia,12254,13.0,33364.0,61050,1660.0,498204.6678635548,13546.597029541375
2055,Northwest Arctic Borough,Alaska,7715,25.0,21878.0,59028,26.0,765106.9345430979,337.0058327932599
2056,Norton,Kansas,5527,12.0,22935.0,136875,2874.0,2476479.102587299,51999.27628007961
2057,Norton city,Virginia,4043,26.0,19297.0,19960,131.0,493692.8023744744,3240.1681919366806
2058,Nottoway,Virginia,15537,22.0,19440.0,146275,4355.0,941462.3157623736,28029.864195147067
2059,Nowata,Oklahoma,10448,18.0,21491.0,89578,1241.0,857369.8315467074,11877.871362940276
2060,Noxubee,Mississippi,10942,35.0,16591.0,172849,4243.0,1579683.7872418205,38777.188813745204
2061,Nuckolls,Nebraska,4318,11.0,24426.0,32908,90.0,762112.0889300602,2084.298286243631
2062,Nueces,Texas,358484,17.0,26780.0,5223841,98016.0,1457203.3898305085,27341.806049921335
2063,Nye,Nevada,43296,17.0,23740.0,265299,6672.0,612756.3747228382,15410.19955654102
2064,O'Brien,Iowa,13944,10.0,32051.0,202250,5716.0,1450444.6356855994,40992.54159495123
2065,Oakland,Michigan,1241860,9.0,40941.0,9278759,394160.0,747166.2667289389,31739.48754287923
2066,Obion,Tennessee,30659,23.0,21939.0,478620,8405.0,1561107.6682214034,27414.462311229985
2067,Ocean,New Jersey,589699,11.0,33312.0,5911838,326745.0,1002517.8947225619,55408.77634182863
2068,Oceana,Michigan,26317,18.0,22184.0,231313,4555.0,878948.968347456,17308.203822624157
2069,Ochiltree,Texas,10484,13.0,24157.0,105254,2039.0,1003948.874475391,19448.683708508204
2070,Oconee,Georgia,35972,7.0,38639.0,334264,7544.0,929233.8485488713,20971.867007672634
2071,Oconee,South Carolina,75926,19.0,26798.0,727152,9340.0,957711.4558912625,12301.451413218132
2072,Oconto,Wisconsin,37465,9.0,28437.0,517647,4851.0,1381681.569464834,12948.084879220607
2073,Ogemaw,Michigan,20979,19.0,22028.0,95890,3061.0,457076.1237427904,14590.781257447923
2074,Oglala Lakota,South Dakota,14291,52.0,9334.0,233310,3749.0,1632565.9505982785,26233.293681337902
2075,Ogle,Illinois,51619,11.0,29239.0,503054,6847.0,974552.006044286,13264.495631453534
2076,Oglethorpe,Georgia,14654,18.0,21858.0,137070,3290.0,935376.0065511123,22451.207861334788
2077,Ohio,Indiana,5911,5.0,27715.0,49507,1492.0,837540.179326679,25241.075960074435
2078,Ohio,Kentucky,24062,21.0,21368.0,227669,4054.0,946176.5439281855,16848.14229906076
2079,Ohio,West Virginia,42906,14.0,29769.0,297125,4783.0,692502.2141425442,11147.625040786836
2080,Okaloosa,Florida,197591,11.0,30775.0,1888256,33594.0,955638.6677530858,17001.786518616736
2081,Okanogan,Washington,41377,22.0,22755.0,291329,4128.0,704084.394712038,9976.557024433863
2082,Okeechobee,Florida,40228,22.0,18610.0,437659,7973.0,1087946.2066222532,19819.52868648702
